                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1230E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3959E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4390E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1660E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2144E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3202E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1585E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1204E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
  151.3562  208.9296  0.1253E+01  0.9228E+03  0.1733E-02  0.7484E+01  0.2994E+06  0.5322E-07  0.5797E+03  0.5698E+04
  208.9296  288.4032  0.5984E+00  0.5906E+03  0.6126E-03  0.3856E+01  0.2524E+06  0.1167E-07  0.4341E+03  0.4542E+04
  288.4032  398.1071  0.2854E+00  0.3793E+03  0.2156E-03  0.1991E+01  0.2128E+06  0.2557E-08  0.3274E+03  0.3632E+04
  398.1071  549.5409  0.1361E+00  0.2431E+03  0.7589E-04  0.1026E+01  0.1794E+06  0.5604E-09  0.2486E+03  0.2913E+04
  549.5409  758.5778  0.6468E-01  0.1570E+03  0.2669E-04  0.5300E+00  0.1513E+06  0.1228E-09  0.1898E+03  0.2343E+04
  758.5778 1047.1285  0.3073E-01  0.1014E+03  0.9445E-05  0.2735E+00  0.1275E+06  0.2691E-10  0.1458E+03  0.1889E+04
 1047.1285 1445.4401  0.1464E-01  0.6508E+02  0.3330E-05  0.1411E+00  0.1075E+06  0.5897E-11  0.1125E+03  0.1527E+04
 1445.4401 1995.2621  0.6978E-02  0.4194E+02  0.1176E-05  0.7269E-01  0.9065E+05  0.1292E-11  0.8720E+02  0.1237E+04
 1995.2621 2754.2290  0.3325E-02  0.2698E+02  0.4118E-06  0.3750E-01  0.7642E+05  0.2831E-12  0.6789E+02  0.1004E+04
 2754.2290 3801.8933  0.1584E-02  0.1741E+02  0.1446E-06  0.1938E-01  0.6443E+05  0.6204E-13  0.5305E+02  0.8159E+03
 3801.8933 5248.0747  0.7553E-03  0.1122E+02  0.5082E-07  0.1001E-01  0.5432E+05  0.1359E-13  0.4161E+02  0.6645E+03
 5248.0747 7244.3579  0.3607E-03  0.7230E+01  0.1792E-07  0.5168E-02  0.4580E+05  0.2978E-14  0.3275E+02  0.5419E+03
 7244.3579 10000.0000  0.1719E-03  0.4654E+01  0.6310E-08  0.2674E-02  0.3861E+05  0.6526E-15  0.2585E+02  0.4427E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.1228E+10  0.3974E+10  0.4321E+09  0.1660E+10  0.2173E+11  0.3075E+07  0.1585E+10  0.1214E+10
