                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.8057E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2645E+10 (#/cm^2/sec)
  5% Total Flux        =   0.2571E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1104E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1548E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.1366E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1045E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.8161E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
  109.6478  151.3562  0.2599E+01  0.1429E+04  0.4815E-02  0.1432E+02  0.3632E+06  0.2379E-06  0.7741E+03  0.7126E+04
  151.3562  208.9296  0.1238E+01  0.9153E+03  0.1706E-02  0.7405E+01  0.2978E+06  0.5232E-07  0.5759E+03  0.5665E+04
  208.9296  288.4032  0.5926E+00  0.5865E+03  0.6047E-03  0.3820E+01  0.2512E+06  0.1150E-07  0.4317E+03  0.4520E+04
  288.4032  398.1071  0.2830E+00  0.3770E+03  0.2133E-03  0.1975E+01  0.2120E+06  0.2526E-08  0.3259E+03  0.3617E+04
  398.1071  549.5409  0.1351E+00  0.2419E+03  0.7516E-04  0.1020E+01  0.1788E+06  0.5546E-09  0.2476E+03  0.2903E+04
  549.5409  758.5778  0.6429E-01  0.1563E+03  0.2646E-04  0.5269E+00  0.1508E+06  0.1217E-09  0.1892E+03  0.2336E+04
  758.5778 1047.1285  0.3058E-01  0.1009E+03  0.9370E-05  0.2723E+00  0.1272E+06  0.2671E-10  0.1454E+03  0.1885E+04
 1047.1285 1445.4401  0.1458E-01  0.6491E+02  0.3308E-05  0.1406E+00  0.1073E+06  0.5859E-11  0.1122E+03  0.1524E+04
 1445.4401 1995.2621  0.6956E-02  0.4183E+02  0.1168E-05  0.7241E-01  0.9049E+05  0.1285E-11  0.8703E+02  0.1235E+04
 1995.2621 2754.2290  0.3313E-02  0.2693E+02  0.4102E-06  0.3739E-01  0.7631E+05  0.2818E-12  0.6777E+02  0.1002E+04
 2754.2290 3801.8933  0.1579E-02  0.1738E+02  0.1441E-06  0.1932E-01  0.6435E+05  0.6179E-13  0.5298E+02  0.8149E+03
 3801.8933 5248.0747  0.7534E-03  0.1120E+02  0.5061E-07  0.9988E-02  0.5426E+05  0.1355E-13  0.4156E+02  0.6637E+03
 5248.0747 7244.3579  0.3600E-03  0.7219E+01  0.1787E-07  0.5159E-02  0.4575E+05  0.2970E-14  0.3271E+02  0.5414E+03
 7244.3579 10000.0000  0.1716E-03  0.4649E+01  0.6297E-08  0.2670E-02  0.3858E+05  0.6509E-15  0.2583E+02  0.4423E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.8038E+09  0.2660E+10  0.2523E+09  0.1103E+10  0.1575E+11  0.1235E+07  0.1045E+10  0.8248E+09
