                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1217E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3898E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4289E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1639E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2086E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3293E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1564E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1183E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0479    0.0661  0.4146E+08  0.1328E+09  0.1480E+08  0.5597E+08  0.6434E+09  0.6715E+05  0.5334E+08  0.3990E+08
    0.0661    0.0912  0.2601E+08  0.8317E+08  0.9688E+07  0.3549E+08  0.3495E+09  0.5697E+05  0.3359E+08  0.2469E+08
    0.0912    0.1259  0.1545E+08  0.4945E+08  0.5862E+07  0.2127E+08  0.2031E+09  0.4836E+05  0.2000E+08  0.1462E+08
    0.1259    0.1738  0.8891E+07  0.2849E+08  0.3232E+07  0.1196E+08  0.1206E+09  0.4106E+05  0.1143E+08  0.8533E+07
    0.1738    0.2399  0.4904E+07  0.1618E+08  0.1655E+07  0.6619E+07  0.6947E+08  0.3488E+05  0.6366E+07  0.5038E+07
    0.2399    0.3311  0.2605E+07  0.9287E+07  0.7808E+06  0.3613E+07  0.4183E+08  0.2963E+05  0.3501E+07  0.3056E+07
    0.3311    0.4571  0.1344E+07  0.5479E+07  0.3444E+06  0.1943E+07  0.3113E+08  0.2518E+05  0.1924E+07  0.1911E+07
    0.4571    0.6310  0.6792E+06  0.3274E+07  0.1443E+06  0.1032E+07  0.2343E+08  0.1011E+05  0.1065E+07  0.1229E+07
    0.6310    0.8710  0.3370E+06  0.2005E+07  0.5780E+05  0.5432E+06  0.1759E+08  0.3369E+04  0.5979E+06  0.8104E+06
    0.8710    1.2023  0.1654E+06  0.1248E+07  0.2225E+05  0.2839E+06  0.1318E+08  0.1095E+04  0.3418E+06  0.5458E+06
    1.2023    1.6596  0.8051E+05  0.7813E+06  0.8485E+04  0.1478E+06  0.9866E+07  0.3220E+03  0.1995E+06  0.3749E+06
    1.6596    2.2909  0.3897E+05  0.4926E+06  0.3158E+04  0.7676E+05  0.7377E+07  0.7789E+02  0.1190E+06  0.2622E+06
    2.2909    3.1623  0.1877E+05  0.3107E+06  0.1160E+04  0.3989E+05  0.5599E+07  0.1782E+02  0.7259E+05  0.1865E+06
    3.1623    4.3652  0.8990E+04  0.1971E+06  0.4237E+03  0.2065E+05  0.4367E+07  0.4029E+01  0.4527E+05  0.1346E+06
    4.3652    6.0256  0.4315E+04  0.1251E+06  0.1540E+03  0.1065E+05  0.3406E+07  0.9028E+00  0.2883E+05  0.9856E+05
    6.0256    8.3176  0.2059E+04  0.7976E+05  0.5548E+02  0.5511E+04  0.2656E+07  0.2011E+00  0.1874E+05  0.7305E+05
    8.3176   11.4815  0.9819E+03  0.5097E+05  0.1984E+02  0.2852E+04  0.2070E+07  0.4457E-01  0.1241E+05  0.5474E+05
   11.4815   15.8489  0.4694E+03  0.3248E+05  0.7068E+01  0.1471E+04  0.1614E+07  0.9848E-02  0.8369E+04  0.4143E+05
   15.8489   21.8776  0.2241E+03  0.2078E+05  0.2502E+01  0.7601E+03  0.1303E+07  0.2171E-02  0.5735E+04  0.3163E+05
   21.8776   30.1995  0.1067E+03  0.1330E+05  0.8919E+00  0.3924E+03  0.1055E+07  0.4776E-03  0.3989E+04  0.2433E+05
   30.1995   41.6869  0.5095E+02  0.8525E+04  0.3156E+00  0.2023E+03  0.8532E+06  0.1050E-03  0.2813E+04  0.1885E+05
   41.6869   57.5440  0.2429E+02  0.5475E+04  0.1114E+00  0.1046E+03  0.6903E+06  0.2305E-04  0.2009E+04  0.1469E+05
   57.5440   79.4328  0.1159E+02  0.3501E+04  0.3938E-01  0.5421E+02  0.5584E+06  0.5057E-05  0.1451E+04  0.1151E+05
   79.4328  109.6478  0.5524E+01  0.2254E+04  0.1390E-01  0.2806E+02  0.4518E+06  0.1109E-05  0.1059E+04  0.9067E+04
  109.6478  151.3562  0.2634E+01  0.1442E+04  0.4905E-02  0.1450E+02  0.3655E+06  0.2432E-06  0.7800E+03  0.7173E+04
  151.3562  208.9296  0.1253E+01  0.9224E+03  0.1732E-02  0.7481E+01  0.2996E+06  0.5330E-07  0.5796E+03  0.5697E+04
  208.9296  288.4032  0.5985E+00  0.5903E+03  0.6132E-03  0.3855E+01  0.2525E+06  0.1168E-07  0.4340E+03  0.4541E+04
  288.4032  398.1071  0.2853E+00  0.3791E+03  0.2155E-03  0.1991E+01  0.2129E+06  0.2560E-08  0.3274E+03  0.3632E+04
  398.1071  549.5409  0.1361E+00  0.2430E+03  0.7588E-04  0.1026E+01  0.1795E+06  0.5610E-09  0.2485E+03  0.2913E+04
  549.5409  758.5778  0.6467E-01  0.1570E+03  0.2669E-04  0.5300E+00  0.1513E+06  0.1229E-09  0.1898E+03  0.2343E+04
  758.5778 1047.1285  0.3072E-01  0.1014E+03  0.9443E-05  0.2735E+00  0.1276E+06  0.2693E-10  0.1457E+03  0.1889E+04
 1047.1285 1445.4401  0.1464E-01  0.6507E+02  0.3329E-05  0.1411E+00  0.1075E+06  0.5901E-11  0.1125E+03  0.1527E+04
 1445.4401 1995.2621  0.6977E-02  0.4194E+02  0.1176E-05  0.7268E-01  0.9066E+05  0.1293E-11  0.8719E+02  0.1237E+04
 1995.2621 2754.2290  0.3324E-02  0.2698E+02  0.4118E-06  0.3749E-01  0.7643E+05  0.2833E-12  0.6788E+02  0.1004E+04
 2754.2290 3801.8933  0.1584E-02  0.1741E+02  0.1446E-06  0.1938E-01  0.6444E+05  0.6206E-13  0.5305E+02  0.8159E+03
 3801.8933 5248.0747  0.7552E-03  0.1122E+02  0.5080E-07  0.1001E-01  0.5432E+05  0.1360E-13  0.4161E+02  0.6644E+03
 5248.0747 7244.3579  0.3607E-03  0.7231E+01  0.1792E-07  0.5167E-02  0.4580E+05  0.2979E-14  0.3275E+02  0.5419E+03
 7244.3579 10000.0000  0.1719E-03  0.4654E+01  0.6310E-08  0.2673E-02  0.3861E+05  0.6527E-15  0.2585E+02  0.4427E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.1213E+10  0.3915E+10  0.4220E+09  0.1639E+10  0.2115E+11  0.3165E+07  0.1564E+10  0.1193E+10
