                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1783E+10 (#/cm^2/sec)
 95% Total Flux        =   0.5686E+10 (#/cm^2/sec)
  5% Total Flux        =   0.6744E+09 (#/cm^2/sec)
  67% Total Flux       =   0.2363E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2925E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2893E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.2281E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1701E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.6310    0.8710  0.4003E+06  0.2277E+07  0.7258E+05  0.6366E+06  0.2043E+08  0.4909E+04  0.6919E+06  0.9111E+06
    0.8710    1.2023  0.1917E+06  0.1392E+07  0.2713E+05  0.3255E+06  0.1497E+08  0.1414E+04  0.3858E+06  0.6013E+06
    1.2023    1.6596  0.9121E+05  0.8552E+06  0.1003E+05  0.1661E+06  0.1099E+08  0.4003E+03  0.2205E+06  0.4062E+06
    1.6596    2.2909  0.4336E+05  0.5312E+06  0.3646E+04  0.8484E+05  0.8088E+07  0.9089E+02  0.1293E+06  0.2802E+06
    2.2909    3.1623  0.2059E+05  0.3326E+06  0.1313E+04  0.4340E+05  0.5960E+07  0.2034E+02  0.7774E+05  0.1970E+06
    3.1623    4.3652  0.9740E+04  0.2086E+06  0.4710E+03  0.2219E+05  0.4605E+07  0.4511E+01  0.4791E+05  0.1410E+06
    4.3652    6.0256  0.4611E+04  0.1314E+06  0.1685E+03  0.1133E+05  0.3563E+07  0.9944E+00  0.3022E+05  0.1024E+06
    6.0256    8.3176  0.2179E+04  0.8316E+05  0.5972E+02  0.5808E+04  0.2759E+07  0.2183E+00  0.1948E+05  0.7542E+05
    8.3176   11.4815  0.1032E+04  0.5264E+05  0.2117E+02  0.2979E+04  0.2139E+07  0.4781E-01  0.1282E+05  0.5622E+05
   11.4815   15.8489  0.4896E+03  0.3349E+05  0.7470E+01  0.1527E+04  0.1659E+07  0.1046E-01  0.8596E+04  0.4236E+05
   15.8489   21.8776  0.2322E+03  0.2130E+05  0.2629E+01  0.7853E+03  0.1325E+07  0.2284E-02  0.5864E+04  0.3222E+05
   21.8776   30.1995  0.1100E+03  0.1359E+05  0.9271E+00  0.4035E+03  0.1069E+07  0.4988E-03  0.4064E+04  0.2472E+05
   30.1995   41.6869  0.5233E+02  0.8681E+04  0.3264E+00  0.2071E+03  0.8634E+06  0.1089E-03  0.2857E+04  0.1910E+05
   41.6869   57.5440  0.2483E+02  0.5562E+04  0.1145E+00  0.1068E+03  0.6973E+06  0.2378E-04  0.2035E+04  0.1485E+05
   57.5440   79.4328  0.1181E+02  0.3547E+04  0.4034E-01  0.5514E+02  0.5633E+06  0.5194E-05  0.1467E+04  0.1162E+05
   79.4328  109.6478  0.5616E+01  0.2279E+04  0.1421E-01  0.2846E+02  0.4551E+06  0.1135E-05  0.1068E+04  0.9139E+04
  109.6478  151.3562  0.2669E+01  0.1456E+04  0.4989E-02  0.1468E+02  0.3678E+06  0.2479E-06  0.7859E+03  0.7221E+04
  151.3562  208.9296  0.1267E+01  0.9302E+03  0.1758E-02  0.7562E+01  0.3011E+06  0.5419E-07  0.5833E+03  0.5729E+04
  208.9296  288.4032  0.6042E+00  0.5946E+03  0.6212E-03  0.3891E+01  0.2537E+06  0.1185E-07  0.4364E+03  0.4563E+04
  288.4032  398.1071  0.2877E+00  0.3812E+03  0.2176E-03  0.2006E+01  0.2137E+06  0.2591E-08  0.3288E+03  0.3646E+04
  398.1071  549.5409  0.1371E+00  0.2444E+03  0.7667E-04  0.1033E+01  0.1801E+06  0.5668E-09  0.2495E+03  0.2923E+04
  549.5409  758.5778  0.6505E-01  0.1578E+03  0.2691E-04  0.5327E+00  0.1517E+06  0.1240E-09  0.1904E+03  0.2350E+04
  758.5778 1047.1285  0.3089E-01  0.1017E+03  0.9511E-05  0.2747E+00  0.1279E+06  0.2713E-10  0.1461E+03  0.1894E+04
 1047.1285 1445.4401  0.1470E-01  0.6535E+02  0.3351E-05  0.1417E+00  0.1078E+06  0.5938E-11  0.1127E+03  0.1530E+04
 1445.4401 1995.2621  0.7001E-02  0.4204E+02  0.1181E-05  0.7291E-01  0.9082E+05  0.1300E-11  0.8736E+02  0.1239E+04
 1995.2621 2754.2290  0.3334E-02  0.2704E+02  0.4135E-06  0.3760E-01  0.7654E+05  0.2846E-12  0.6799E+02  0.1005E+04
 2754.2290 3801.8933  0.1588E-02  0.1745E+02  0.1451E-06  0.1942E-01  0.6452E+05  0.6230E-13  0.5313E+02  0.8169E+03
 3801.8933 5248.0747  0.7572E-03  0.1123E+02  0.5098E-07  0.1003E-01  0.5438E+05  0.1364E-13  0.4166E+02  0.6651E+03
 5248.0747 7244.3579  0.3616E-03  0.7240E+01  0.1797E-07  0.5177E-02  0.4584E+05  0.2987E-14  0.3278E+02  0.5424E+03
 7244.3579 10000.0000  0.1722E-03  0.4659E+01  0.6326E-08  0.2677E-02  0.3864E+05  0.6543E-15  0.2587E+02  0.4430E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.1780E+10  0.5701E+10  0.6631E+09  0.2367E+10  0.2957E+11  0.1478E+08  0.2281E+10  0.1715E+10
