                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1905E+08 (#/cm^2/sec)
 95% Total Flux        =   0.1100E+09 (#/cm^2/sec)
  5% Total Flux        =   0.1084E+07 (#/cm^2/sec)
  95% Total Flux       =   0.1100E+09 (#/cm^2/sec)
 Maximum Total Flux    =   0.2446E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1530E+04 (#/cm^2/sec)
 Mean Total Flux       =   0.3392E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5549E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0832    0.1096  0.6516E+05  0.1053E+07  0.3795E+04  0.1053E+07  0.1377E+09  0.1094E+02  0.2914E+06  0.1793E+07
    0.1096    0.1445  0.4204E+05  0.6874E+06  0.2178E+04  0.6874E+06  0.1916E+09  0.6677E+01  0.1991E+06  0.1898E+07
    0.1445    0.1905  0.2700E+05  0.4295E+06  0.1222E+04  0.4295E+06  0.2662E+09  0.3613E+01  0.1454E+06  0.2482E+07
    0.1905    0.2512  0.1709E+05  0.2784E+06  0.6687E+03  0.2784E+06  0.3606E+09  0.1161E+01  0.1145E+06  0.3228E+07
    0.2512    0.3311  0.1080E+05  0.1847E+06  0.3568E+03  0.1847E+06  0.4132E+09  0.3783E+00  0.9217E+05  0.3536E+07
    0.3311    0.4365  0.6771E+04  0.1236E+06  0.1882E+03  0.1236E+06  0.3912E+09  0.1249E+00  0.7083E+05  0.3160E+07
    0.4365    0.5754  0.4213E+04  0.8318E+05  0.9806E+02  0.8318E+05  0.2885E+09  0.4170E-01  0.5036E+05  0.2321E+07
    0.5754    0.7586  0.2606E+04  0.5638E+05  0.4979E+02  0.5638E+05  0.1890E+09  0.1406E-01  0.3335E+05  0.1447E+07
    0.7586    1.0000  0.1610E+04  0.3906E+05  0.2531E+02  0.3906E+05  0.1123E+09  0.4786E-02  0.2126E+05  0.8123E+06
    1.0000    1.3183  0.9831E+03  0.2735E+05  0.1275E+02  0.2735E+05  0.6050E+08  0.1641E-02  0.1347E+05  0.4336E+06
    1.3183    1.7378  0.6008E+03  0.1941E+05  0.6384E+01  0.1941E+05  0.3099E+08  0.5669E-03  0.8650E+04  0.2289E+06
    1.7378    2.2909  0.3658E+03  0.1385E+05  0.3174E+01  0.1385E+05  0.1562E+08  0.1969E-03  0.5672E+04  0.1228E+06
    2.2909    3.0200  0.2224E+03  0.1003E+05  0.1579E+01  0.1003E+05  0.8736E+07  0.6877E-04  0.3803E+04  0.6819E+05
    3.0200    3.9811  0.1350E+03  0.7329E+04  0.7745E+00  0.7329E+04  0.4845E+07  0.2413E-04  0.2602E+04  0.3956E+05
    3.9811    5.2481  0.8202E+02  0.5376E+04  0.3804E+00  0.5376E+04  0.2670E+07  0.8499E-05  0.1812E+04  0.2406E+05
    5.2481    6.9183  0.4977E+02  0.3963E+04  0.1861E+00  0.3963E+04  0.1556E+07  0.3004E-05  0.1283E+04  0.1532E+05
    6.9183    9.1201  0.3013E+02  0.2937E+04  0.9177E-01  0.2937E+04  0.1010E+07  0.1065E-05  0.9205E+03  0.1017E+05
    9.1201   12.0226  0.1829E+02  0.2210E+04  0.4494E-01  0.2210E+04  0.7108E+06  0.3787E-06  0.6690E+03  0.7009E+04
   12.0226   15.8489  0.1104E+02  0.1645E+04  0.2170E-01  0.1645E+04  0.5138E+06  0.1349E-06  0.4917E+03  0.4980E+04
   15.8489   20.8930  0.6673E+01  0.1238E+04  0.1052E-01  0.1238E+04  0.3983E+06  0.4817E-07  0.3652E+03  0.3628E+04
   20.8930   27.5423  0.4027E+01  0.9398E+03  0.5077E-02  0.9398E+03  0.3116E+06  0.1723E-07  0.2739E+03  0.2697E+04
   27.5423   36.3078  0.2438E+01  0.7115E+03  0.2456E-02  0.7115E+03  0.2455E+06  0.6172E-08  0.2072E+03  0.2037E+04
   36.3078   47.8630  0.1477E+01  0.5433E+03  0.1176E-02  0.5433E+03  0.1947E+06  0.2214E-08  0.1580E+03  0.1560E+04
   47.8630   63.0957  0.8908E+00  0.4121E+03  0.5652E-03  0.4121E+03  0.1552E+06  0.7951E-09  0.1213E+03  0.1207E+04
   63.0957   83.1764  0.5394E+00  0.3139E+03  0.2730E-03  0.3139E+03  0.1243E+06  0.2858E-09  0.9380E+02  0.9425E+03
   83.1764  109.6478  0.3264E+00  0.2406E+03  0.1299E-03  0.2406E+03  0.9996E+05  0.1028E-09  0.7297E+02  0.7416E+03
  109.6478  144.5440  0.1982E+00  0.1851E+03  0.6247E-04  0.1851E+03  0.8065E+05  0.3703E-10  0.5708E+02  0.5873E+03
  144.5440  190.5461  0.1204E+00  0.1425E+03  0.2998E-04  0.1425E+03  0.6526E+05  0.1334E-10  0.4488E+02  0.4677E+03
  190.5461  251.1887  0.7291E-01  0.1095E+03  0.1434E-04  0.1095E+03  0.5294E+05  0.4810E-11  0.3546E+02  0.3743E+03
  251.1887  331.1311  0.4429E-01  0.8422E+02  0.6813E-05  0.8422E+02  0.4304E+05  0.1735E-11  0.2813E+02  0.3008E+03
  331.1311  436.5159  0.2701E-01  0.6491E+02  0.3252E-05  0.6491E+02  0.3506E+05  0.6262E-12  0.2241E+02  0.2426E+03
  436.5159  575.4399  0.1634E-01  0.4994E+02  0.1544E-05  0.4994E+02  0.2860E+05  0.2261E-12  0.1792E+02  0.1963E+03
  575.4399  758.5778  0.9884E-02  0.3844E+02  0.7377E-06  0.3844E+02  0.2337E+05  0.8164E-13  0.1438E+02  0.1594E+03
  758.5778 1000.0000  0.5980E-02  0.2953E+02  0.3526E-06  0.2953E+02  0.1912E+05  0.2949E-13  0.1157E+02  0.1297E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.1600E+08  0.1138E+09  0.7922E+06  0.1138E+09  0.4575E+10  0.6801E+03  0.3392E+08  0.8555E+08
